Класс;Код Клиента;Квартал
активные приверженцы;10178528857;01.07.2016
частичные приверженцы;10178528857;01.10.2016
непостоянные приверженцы;10178528857;01.01.2017
активные приверженцы;10178528857;01.04.2017
активные приверженцы;10178528857;01.07.2017
активные приверженцы;10178528857;01.10.2017
активные приверженцы;10178552444;01.01.2016
частичные приверженцы;10178552444;01.04.2016
непостоянные приверженцы;10178552444;01.07.2016
без предпочтений;10178552444;01.10.2016
активные приверженцы;10178552444;01.01.2017
непостоянные приверженцы;10178552444;01.04.2017
активные приверженцы;10178552444;01.07.2017
непостоянные приверженцы;10178552444;01.10.2017
непостоянные приверженцы;10178554430;01.01.2016
активные приверженцы;10178554430;01.04.2016
непостоянные приверженцы;10178554430;01.07.2016
активные приверженцы;10178554430;01.10.2016
непостоянные приверженцы;10178554430;01.01.2017
частичные приверженцы;10178554430;01.04.2017
непостоянные приверженцы;10178554430;01.07.2017
активные приверженцы;10178554430;01.10.2017
без предпочтений;10181052013;01.01.2016
активные приверженцы;10181052013;01.04.2016
активные приверженцы;10181052013;01.07.2016
непостоянные приверженцы;10181052013;01.10.2016
частичные приверженцы;10181052013;01.01.2017
непостоянные приверженцы;10181052013;01.04.2017
частичные приверженцы;10181052013;01.07.2017
непостоянные приверженцы;10181052013;01.10.2017
активные приверженцы;10187881122;01.01.2016
без предпочтений;10187881122;01.04.2016
активные приверженцы;10187881122;01.07.2016
активные приверженцы;10187881122;01.10.2016
активные приверженцы;10187881122;01.01.2017
непостоянные приверженцы;10187881122;01.04.2017
активные приверженцы;10187881122;01.07.2017
активные приверженцы;10187881122;01.10.2017
без предпочтений;10187889367;01.01.2016
активные приверженцы;10187889367;01.04.2016
без предпочтений;10187889367;01.07.2016
непостоянные приверженцы;10187889367;01.10.2016
без предпочтений;10187889367;01.01.2017
непостоянные приверженцы;10187889367;01.04.2017
частичные приверженцы;10187889367;01.07.2017
без предпочтений;10187889367;01.10.2017
активные приверженцы;10187896499;01.01.2016
активные приверженцы;10187896499;01.04.2016
активные приверженцы;10187896499;01.07.2016
непостоянные приверженцы;10187896499;01.10.2016
активные приверженцы;10187896499;01.01.2017
непостоянные приверженцы;10187896499;01.04.2017
непостоянные приверженцы;10187896499;01.07.2017
без предпочтений;10187896499;01.10.2017
без предпочтений;10190405100;01.01.2016
без предпочтений;10190405100;01.04.2016
без предпочтений;10190405100;01.07.2016
активные приверженцы;10190405100;01.10.2016
активные приверженцы;10190405100;01.01.2017
непостоянные приверженцы;10190405100;01.04.2017
без предпочтений;10190405100;01.07.2017
активные приверженцы;10190405100;01.10.2017
активные приверженцы;10190407461;01.01.2016
без предпочтений;10190407461;01.04.2016
